horaire,titre,artiste
2023-05-09 10:50:00,NUE AU SOLEIL,BRIGITTE BARDOT
2023-05-09 10:53:00,CHICAGO BREAKDOWN,JEROME ETCHEBERRY  MALO MAZURIE  CESAR POIRIER  BENJAMIN DOUSTEYSSIER  LUDOVIC ALLAINMAT
2023-05-09 10:55:00,DOCTOR,ALI VEEJAY  ALEXANDRE TANET  JULIEN ZORDAN  ORLVAL CARELOS SIBELIUS
2023-05-09 10:57:00,SELF VOODOO ,KAROLINA  REJOICER
2023-05-09 11:00:00,TURKS CAP,ADRIAN QUESADA  MARY LATTIMORE  NEAL FRANCIS  DAVID GARZA
2023-05-09 11:03:00,LIGHT MY FIRE,JULIE DRISCOLL BRIAN AUGER AND THE TRINITY
2023-05-09 11:08:00,SEAFORTH ,KING KRULE  IGNACIO SALVADORES  GEORGE BASS  JAMES WILSON  JACK TOWELL
2023-05-09 11:10:00,LIHUE,NOHELANI CYPRIANO
2023-05-09 11:14:00,SUN HARP,WHATITDO ARCHIVE GROUP
2023-05-09 11:17:00,KABALUERE,ANTONIO CARLOS E JOCAFI
2023-05-09 11:20:00,JE MONTE SUR LES PLANCHES,JEANNE MOREAU
2023-05-09 11:22:00,DIDN'T CHA KNOW,SAM GENDEL
2023-05-09 11:24:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-09 11:25:00,HOMERTON,LOYLE CARNER
2023-05-09 11:27:00,FAMILY,JORDAN RAKEI
2023-05-09 11:31:00,BOOGALOO,CAROL KAYE
2023-05-09 11:33:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-09 11:33:00,DARK SIDE OF THE HILL,NIKLAS PASCHBURG
2023-05-09 11:37:00,LES DEUX COTES D'UNE OMBRE,DOMINIQUE A
2023-05-09 11:43:00,A FISTFUL OF DYNAMITE ,ORCHESTRE SYMPHONIQUE NATIONAL TCHEQUE
2023-05-09 11:46:00,MESSE POUR LE TEMPS PRESENT : JERICHO JERK,PIERRE HENRY
2023-05-09 11:48:00,CHUG-A-LUG,ROGER MILLER
2023-05-09 11:50:00,SOUTBOUK,JAWHAR
2023-05-09 11:56:00,KHELLITNI WEDI MEDRAR,MOHAMED LAMOURI  MOCKE  CHARLIE O  BARON RETIF
2023-05-09 11:59:00,THE WALK,KUBIX
2023-05-09 12:03:00,J'EMBRASSE TES LEVRES,CAMILLE BAZBAZ
2023-05-09 12:06:00,USE ME,ESTHER PHILLIPS
2023-05-09 12:10:00,NO LOVE,ERYKAH BADU
2023-05-09 12:15:00,AURORE,LAPSUS  BRUNO ROUGEVIN-BAVILLE  ANTOINE BRUNET  FELIX FAVIEZ
2023-05-09 12:19:00,YOUTHENASIA,BAKAR
2023-05-09 12:22:00,DEVOTE,PITOU  MISCHA PORTE  FRANK WIENK  JASJA OFFERMANS  LIEKE HEUSINKVELD
2023-05-09 12:25:00,THE GRAND DUEL - ,LUIS BACALOV
2023-05-09 12:29:00,PEACE BLOSSOM BOOGY,THE BABE RAINBOW
2023-05-09 12:32:00,"A NOITE, FORA",LEO BLOMOV
2023-05-09 12:35:00,DAMNED,Y LA BAMBA
2023-05-09 12:39:00,VANCOUVER,MAC DEMARCO
2023-05-09 12:41:00,BEST THING,JAWNY
2023-05-09 12:44:00,SPARK,SOULS OF MISCHIEF
2023-05-09 12:47:00,SIMIGWA,GYEDU BLAY AMBOLLEY
2023-05-09 12:49:00,APACHE,INCREDIBLE BONGO BAND  BONGO BAND
2023-05-09 12:53:00,APACHE,SONNY JAMES
2023-05-09 12:54:00,PARTI AVEC LE SOLEIL,APRIL MARCH  STAPLIN
2023-05-09 12:57:00,ANCHOR IN THE CLOUD,BUTTER BATH
2023-05-09 13:00:00,PROMENADE DU MAQUEREAU,JOHN LURIE
2023-05-09 13:01:00,WUTHERING HEIGHTS ,CECILE MCLORIN SALVANT
2023-05-09 13:05:00,BEAT 100 ,BENNY SINGS
2023-05-09 13:07:00,HELICOIDAL,MARINE QUEMERE
2023-05-09 13:11:00,LA RITOURNELLE,SEBASTIEN TELLIER
2023-05-09 13:18:00,SAY IT LOUD - I'M BLACK AND I'M PROUD,JAMES BROWN
2023-05-09 13:23:00,BE BLACK,GRADY TATE
2023-05-09 13:27:00,DREAM VACAY,HEALING POTPOURRI
2023-05-09 13:29:00,SOUTHERN FREEEZ,SONZEIRA
2023-05-09 13:33:00,PYRAMIDE,GRAND BLANC  BENOIT DAVID  CAMILLE DELVECCHIO  VINCENT CORBEL  LUC WAGNER
2023-05-09 13:38:00,OEDIPUS KING OF THEBES Z 583 : MUSIC FOR A WHILE  - ARRANGEMENT POUR CLARINETTE CONTREBASSE ET PIANO,MARTIN FROST  SEBASTIEN DUBE  ROLAND PONTINEN
2023-05-09 13:42:00,FEVER,PEGGY LEE
2023-05-09 13:46:00,NOBODY'S FAULT BUT MINE,KAREEN GUIOCK-THURAM  DOMINIQUE FILLON  LAURENT VERNEREY  RAPHAEL CHASSIN  OLIVIER JUSTE
2023-05-09 13:48:00,AIRPORT LOVE THEME,LIVING STRINGS
2023-05-09 13:52:00,LA CROISERE S'AMUSE ,JACK JONES
2023-05-09 13:53:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-09 13:54:00,LA FM QUI S'EST SPECIALISEE FUNKY,MICHEL JONASZ
2023-05-09 13:58:00,FIFTY DOLLAR BILLS,SWORN VIRGINS
2023-05-09 14:02:00,LES PECHEURS,BON VOYAGE ORGANISATION
2023-05-09 14:07:00,PAWNSHOP,KARA JACKSON
2023-05-09 14:10:00,ANY TIME OF DAY,THE LEMON TWIGS
2023-05-09 14:12:00,CONSTANT RAIN,NEW HERD ORCHESTRA  TADAO SAWAI  TOSHIYUKI MIYAMA
2023-05-09 14:17:00,4:00 A.M,OHNUKI TAEKO  HARUOMI HOSONO  RYUICHI SAKAMOTO
2023-05-09 14:22:00,KISS,PRINCE
2023-05-09 14:26:00,UN BISOU DANS LE COU,PETIT PRINCE
2023-05-09 14:31:00,PLUS TOT - ARRANGEMENT POUR HARPE,LAVINIA MEIJER
2023-05-09 14:33:00,ALL THAT YOU GIVE,THE CINEMATIC ORCHESTRA
2023-05-09 14:39:00,CHAMPAGNE PROBLEMS,ENNY
2023-05-09 14:41:00,"ONE BOURBON, ONE SCOTCH, ONE BEER",JOHN LEE HOOKER
2023-05-09 14:45:00,ONE MINT JULEP,KENNY BURRELL
2023-05-09 14:48:00,JE BOIS,KATERINE
2023-05-09 14:52:00,THIRSTY MAN,BLITZEN TRAPPER
2023-05-09 14:55:00,MAN ON BOX,AUDIENCE
2023-05-09 14:58:00,BRYTER LAYTER,NICK DRAKE
2023-05-09 15:00:00,SEUL ALONE,JP NATAF
2023-05-09 15:10:00,NO MORE,LA PRIEST
2023-05-09 15:16:00,MAX BROWN ,JEFF PARKER  THE NEW BREED
2023-05-09 15:19:00,THANG,ESPERANZA SPALDING  MATT STEVENS  JUSTIN TYSON
2023-05-09 15:24:00,CAN YOU GET TO THAT,FUNKADELIC
2023-05-09 15:27:00,CRIOULA MULTICOLORIDA,JOSE ROBERTO
2023-05-09 15:30:00,MITOTE,COCHEMEA
2023-05-09 15:33:00,KAWASAKI,HONEY FOR PETZI
2023-05-09 15:36:00,HOTWAX,BECK
2023-05-09 15:40:00,HITS FROM THE BONG,CYPRESS HILL
2023-05-09 15:42:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-09 15:43:00,RICKY'S THEME,BEASTIE BOYS
2023-05-09 15:46:00,J'APAISE,ENCHANTEE JULIA  ASTRONNE
2023-05-09 15:50:00,LEGIT,SABRINA BELLAOUEL
2023-05-09 15:53:00,SLOWLY BUT SURELY,QUIET DAWN
2023-05-09 15:55:00,LEYLIM LEY,ALTIN GUN
2023-05-09 15:59:00,STRAWS IN THE WIND,KING GIZZARD  THE LIZARD WIZARD
2023-05-09 16:05:00,DECALCO,FOREVER PAVOT  EMILE SORNIN  MAXIME DAOUD  VINCENT TAEGER  ARNAUD SECHE
2023-05-09 16:09:00,THIS GUY'S IN LOVE WITH YOU,ROY AYERS  HERBIE HANCOCK  BUSTER WILLIAMS  HUBERT LAWS  FREDDIE WAITS
2023-05-09 16:13:00,THE PARTY'S OVER,BLOSSOM DEARIE
2023-05-09 16:17:00,MISHIRANU SEKAI,KIYOKO ITO
2023-05-09 16:20:00,HALF THE MAN,JAMIROQUAI
2023-05-09 16:25:00,DANCE WITH ME,BABY ROSE
