horaire,titre,artiste
2023-05-10 08:35:00,MIDNIGHT MORNING,MENAHAN STREET BAND
2023-05-10 08:37:00,JEU POUR ENFANT,AUPINARD
2023-05-10 08:39:00,PEOPLE DO IT ALL THE TIME,STEREOLAB
2023-05-10 08:43:00,DON'T LET ME DOWN,THE BEATLES
2023-05-10 08:46:00,THE HOUR,VALERIE JUNE
2023-05-10 08:50:00,FRONTERA,CALEXICO
2023-05-10 08:53:00,QUE MURMUREN,ELIADES OCHOA
2023-05-10 08:56:00,BIRDS GO DIE OUT OF SIGHT,PETER ONE
2023-05-10 09:01:00,WALKIN' DOWN,ANDREW ALLI
2023-05-10 09:03:00,PAS CETTE CHANSON,JOHNNY HALLYDAY
2023-05-10 09:05:00,WHAT BECOMES OF THE BROKENHEARTED,JIMMY RUFFIN
2023-05-10 09:09:00,EARTHQUAKE WEATHER,BECK
2023-05-10 09:13:00,FEELINGS,J. RAWLS
2023-05-10 09:15:00,GOAT TALK,ALOEIGHT
2023-05-10 09:18:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 09:19:00,WEST END BLUES,LOUIS ARMSTRONG  HIS HOT FIVE
2023-05-10 09:22:00,SINGING SOFTLY TO ME,KINGS OF CONVENIENCE
2023-05-10 09:25:00,TUMBADA,TUZEINT
2023-05-10 09:29:00,GUACHARUMBA,ORQUESTA ARAGON
2023-05-10 09:34:00,FENSH VALLEE,BERNARD LAVILLIERS
2023-05-10 09:37:00,MYTHOLOGIES : 5. LES AMAZONES,THOMAS BANGALTER  ORCHESTRE NATIONAL DE BORDEAUX-AQUITAINE  ROMAIN DUMAS
2023-05-10 09:41:00,FIRE BRIGADE,THE MOVE  CARL WAYNE  ROY WOOD  ACE KEFFORD  TREVOR BURTON
2023-05-10 09:44:00,RELIEF,SAM AMIDON
2023-05-10 09:49:00,ONCE IN ROYAL DAVID'S CITY,SUFJAN STEVENS
2023-05-10 09:51:00,EX-FACTOR,LAURYN HILL
2023-05-10 09:57:00,TOMORROW'S CHILD,YAZMIN LACEY
2023-05-10 10:00:00,AURORE,LAPSUS  BRUNO ROUGEVIN-BAVILLE  ANTOINE BRUNET  FELIX FAVIEZ
2023-05-10 10:03:00,ANNE-SOPHIE,MUSTANG
2023-05-10 10:06:00,CAROL,THE ROLLING STONES
2023-05-10 10:09:00,LOUISE,TV GIRL
2023-05-10 10:12:00,NP IL SEGRETO : MAIN THEME,NON IDENTIFIE
2023-05-10 10:15:00,BORONDONG GARING,NUSANTARA BEAT
2023-05-10 10:21:00,FETSUM,OZFERTI
2023-05-10 10:24:00,GIRL FROM ADDIS ABABA,MULATU ASTATKE
2023-05-10 10:28:00,THINGS WE SAY ,BLU  EXILE  LOE BLACC
2023-05-10 10:32:00,INNER CITY BLUES ,MARVIN GAYE
2023-05-10 10:35:00,THE MARCH,THE ECHOCENTRICS
2023-05-10 10:38:00,L'INVISIBLE,MARTIN LEON
2023-05-10 10:41:00,UNDER THE SKY,DANA GAVANSKI
2023-05-10 10:44:00,I AM THE RIVER,LAEL NEALE
2023-05-10 10:48:00,UN PO D'IRONIA ACIDA,ENNIO MORRICONE
2023-05-10 10:52:00,PAROLE PAROLE,MINA  ALBERTO LUPO
2023-05-10 10:57:00,I NOSTRI GIORNI,ANDREA LASZLO DE SIMONE
2023-05-10 11:00:00,SKIN TONE,TIMBER TIMBRE
2023-05-10 11:03:00,I WANNA BE YOUR BASKETBALL,JW FRANCIS
2023-05-10 11:05:00,VERTIGE DE L'AMOUR,ALAIN BASHUNG
2023-05-10 11:08:00,MARIA MOLE,RITA LEE  ROBERTO DE CARVALHO
2023-05-10 11:14:00,NIGHT TIME,JOE YORKE  KING DAVID HORNS
2023-05-10 11:17:00,THE SYMPHONY ,MARLEY MARL  MASTA ACE  CRAIG G  KOOL G RAP  BIG DADDY KANE
2023-05-10 11:23:00,HARD TO HANDLE,OTIS REDDING
2023-05-10 11:25:00,COWBOYS TO GIRLS,THE SEXTONES
2023-05-10 11:28:00,DREAMS OF PANAMA,SKINSHAPE
2023-05-10 11:31:00,BARCELONE,THOMAS FERSEN
2023-05-10 11:35:00,SKYLARK,CHANO DOMINGUEZ  ANTONIO LIZANA  CHANO DOMINGUEZ  ANTONIO LIZANA  MANEL FORTIA  MARC MIRALTA
2023-05-10 11:39:00,4 PIEZAS ESPANOLAS : 4. ANDALUZA - POUR PIANO,SIMON GHRAICHY
2023-05-10 11:43:00,I DON'T CARE,ELTON JOHN
2023-05-10 11:47:00,FAKE FUTURE,ALLEN STONE
2023-05-10 11:50:00,FUTBOL,RAHILL
2023-05-10 11:54:00,SOMA NAGAREYAMA,KIFU MITSUHASHI
2023-05-10 11:58:00,DIARABI,KHRUANGBIN  VIEUX FARKA TOURE
2023-05-10 12:03:00,MAINTENANT,TAMAR SU
2023-05-10 12:05:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 12:06:00,THE SOUND OF SILENCE,SIMON AND GARFUNKEL
2023-05-10 12:08:00,ANNE BONNY RAG,LAURA VEIRS
2023-05-10 12:11:00,I LEFT MY WALLET IN EL SEGUNDO,A TRIBE CALLED QUEST
2023-05-10 12:15:00,GOT TO BE GOOD ,SUNSHINE MAKERS  AQUAKULTRE
2023-05-10 12:17:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 12:17:00,IT AIN'T OVER 'TIL IT'S OVER,LENNY KRAVITZ
2023-05-10 12:21:00,GENIUS OF LOVE,MAGIC SOURCE
2023-05-10 12:25:00,AWUNDIVA,KABASA
2023-05-10 12:29:00,THE LION SLEEPS TONIGHT,THE TOKENS
2023-05-10 12:29:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 12:32:00,MYSTICS  ,THE YUSSEF DAYES EXPERIENCE  VENNA
2023-05-10 12:36:00,LET YOU GO,MOONCHILD
2023-05-10 12:39:00,DOUZE HEURES,ENCHANTEE JULIA
2023-05-10 12:42:00,LUCKY STAR,MADONNA
2023-05-10 12:47:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 12:48:00,ROLLER,FOREVER PAVOT
2023-05-10 12:50:00,ARRIVEDERCI ROMA,JUAN DIEGO FLOREZ  AVI AVITAL  KSENIJA SIDOROVA  GUIDO SODO  WALTER ZANETTI
2023-05-10 12:54:00,ISLE OF CAPRI,BING CROSBY  ROSEMARY CLOONEY
2023-05-10 12:57:00,ITALIAN MARIACHI ,RODEO SPAGHETTI
2023-05-10 13:00:00,PROFUMO DI DONNA : WOMAN'S PARFUME,ARMANDO TROVAJOLI
2023-05-10 13:05:00,MADAM OPERATOR,MADNESS
2023-05-10 13:09:00,HANGING ON THE TELEPHONE,THE NERVES
2023-05-10 13:11:00,RAPTURE,BLONDIE
2023-05-10 13:17:00,MIAMI,SKARBO SKULEKORPS
2023-05-10 13:19:00,SUIYOUBI MADENI SHINITAINO,YUKAKO HAYASE
2023-05-10 13:23:00,AVEC LE VENT ,KCIDY  KUMISOLO
2023-05-10 13:26:00,THE TELEPHONE CALL,KRAFTWERK
2023-05-10 13:30:00,SUITE BERGAMASQUE : PASSEPIED,XAVIER DE MAISTRE
2023-05-10 13:34:00,FINAL FANTASY,DRAKE
2023-05-10 13:37:00,TOMORROW,THE DURUTTI COLUMN
2023-05-10 13:41:00,DIBUJOS DE MI ALMA,Y LA BAMBA
2023-05-10 13:45:00,MY ISLE OF GOLDEN DREAMS,MARTIN DENNY
2023-05-10 13:45:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 13:47:00,L'HOMME A LA TETE DE CHOU,SERGE GAINSBOURG
2023-05-10 13:50:00,AFRICA,THE METERS
2023-05-10 13:54:00,BASSA BASSA,VAUDOU GAME
2023-05-10 14:00:00,SONG OF THE FOUNDLING,ALABASTER DEPLUME
2023-05-10 14:03:00,3 CHANSONS : TROIS BEAUX OISEAUX DU PARADIS - ARRANGEMENT POUR SOPRANO CONTRALTO CHOEUR DE FEMMES QUATUOR A CORDES ET PIANO,ARMELLE MARQ  ANNE LOU BISSIERES  ENSEMBLE EUROPA BAROCCA  CHOEUR LUCE DEL CANTO  CYRIELLE EBERHARDT
2023-05-10 14:05:00,VENUS,FRANKIE AVALON
2023-05-10 14:07:00,I'LL BE YOUR MIRROR,THE VELVET UNDERGROUND
2023-05-10 14:09:00,NOTHING TO LOOSE,HENRY MANCINI
2023-05-10 14:13:00,BLE AETH YR AMSER,CARWYN ELLIS  RIO 18  BBC NATIONAL ORCHESTRA OF WALES
2023-05-10 14:17:00,NOTHING IS EASY,JETHRO TULL
2023-05-10 14:21:00,ACHETHKHII,LES ABRANIS
2023-05-10 14:25:00,THE CASHMERE CHAMBER,WHATITDO ARCHIVE GROUP
2023-05-10 14:29:00,WHILE YOU WAIT,NEW MUSIK
2023-05-10 14:34:00,LE BALCON,BIBI CLUB  ADELE TROTTIER-RIVARD  NICOLAS BASQUE
2023-05-10 14:37:00,CUANDO LLEGARE,AMARA TOURE
2023-05-10 14:41:00,FEDERAL SPECIAL,ROLAND ALPHONSO
2023-05-10 14:43:00,FAT CAKES,JIMMY MCGRIFF
2023-05-10 14:47:00,FOREVER,LEE FIELDS
2023-05-10 14:50:00,NUBIAN FARLOW,VARNISH LA PISCINE
2023-05-10 14:53:00,FIRE OF LOVE : ZAIRE 73,NICOLAS GODIN
2023-05-10 14:56:00,ZONE 1 TO 6000,NABIHAH IQBAL
2023-05-10 14:59:00,PUNK,DEAN BLUNT
2023-05-10 15:02:00,FULL UP,SOUND DIMENSION
2023-05-10 15:05:00,RING THE ALARM,TENOR SAW
2023-05-10 15:07:00,WHEN THE ALARM CLOCK RINGS,BLOSSOM TOES
2023-05-10 15:10:00,HIGH ALERT,JUNIUS MEYVANT
2023-05-10 15:13:00,CHASE SCENE ,THE LAHAAR  JULIEN DYNE  HORATIO LUNA  LACHLAN STUCKEY  MARA TK
2023-05-10 15:17:00,RENDEZVOUS ,SAI GALAXY  VANESSA BAKER
2023-05-10 15:23:00,PETIT A PETIT ,IREKE  AGNES HELENE
2023-05-10 15:27:00,SADUVA,GIBSON KENTE
2023-05-10 15:27:00,SADUVA,GIBSON KENTE
2023-05-10 15:29:00,"BROTHER, WHERE ARE YOU ?",OSCAR BROWN JR
2023-05-10 15:33:00,WHO IS SHE,WANUBALE  EVIN
2023-05-10 15:37:00,SHIMMERS - POUR PIANO,SHANI DILUKA
2023-05-10 15:40:00,I NEED A MINUTE,SIR WAS
2023-05-10 15:44:00,SUR MA MOB,LILI DROP
2023-05-10 15:48:00,BORN TO BE WILD,STEPPENWOLF
2023-05-10 15:51:00,MELTING POT,BOOKER T  THE MG S
2023-05-10 16:00:00,YUTEMAN DENIS ,SKIIFALL  CHARLOTTE CARDIN  ZIBZ
2023-05-10 16:03:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 16:04:00,AUTOMATIC YOUTH,ALEX EBERT
2023-05-10 16:06:00,CHIARO,PAOLO FRESU QUINTET
2023-05-10 16:11:00,LOVE TASTES LIKE STRAWBERRIES ,SOMI
2023-05-10 16:15:00,LE SOLEIL,BRIGITTE BARDOT
2023-05-10 16:19:00,I GOT SUNSHINE,AVERY SUNSHINE
2023-05-10 16:21:00,SOUL AND SUNSHINE,HARVEY THE PHENOMENALS
2023-05-10 16:25:00,GOODNIGHT IRENE,NEW YORK ROCK ENSEMBLE
2023-05-10 16:28:00,WHEN WINTER COMES AROUND,THE LEMON TWIGS
2023-05-10 16:32:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 16:33:00,RACK RAILWAY TO,ROBERTO MUSCI
2023-05-10 16:36:00,HUNGBOO,PEGGY GOU
2023-05-10 16:41:00,HIRONDELLE,MARINA TRENCH
2023-05-10 16:44:00,SMOOTH OPERATOR,SADE
2023-05-10 16:49:00,TOUCH,BURT BACHARACH
2023-05-10 16:52:00,KEEPIN' IT TO MYSELF,JAYE P.MORGAN  HARVEY MASON  ED GREENE  DAVID FOSTER  LEE RITENOUR
2023-05-10 16:56:00,DO YOU,MADMADMAD
2023-05-10 17:00:00,FAITES VOUS DES BISOUS,LUCIE ANTUNES
2023-05-10 17:02:00,ZOU BISOU BISOU,GILLIAN HILLS
2023-05-10 17:05:00,FRENCH KISS,CHILLY GONZALES  CHRISTINE OTT
2023-05-10 17:09:00,KISS AND FLY,G S WAY
2023-05-10 17:10:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 17:11:00,20221102 THE TRUTH,MAC DEMARCO
2023-05-10 17:14:00,HIDING OUT IN THE OPEN,FEIST
2023-05-10 17:18:00,4 + 20,CROSBY  STEPHEN STILLS  GRAHAM NASH
2023-05-10 17:19:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 17:19:00,SONG FROM THE HILLS,RAVI SHANKAR  PAUL HORN  ALLA RAKHA  HARIHAR RAO  JORG HANS MAMMEL
2023-05-10 17:23:00,NAYA DAUR : SAATHI HAATH BADHANA,LATA MANGESHKAR  MANNA DEY  LATA MANGESHKAR  MANNA DEY  CHORUS
2023-05-10 17:28:00,BLACK WHITE,ASIAN DUB FOUNDATION
2023-05-10 17:31:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 17:32:00,BRA DZICK,TOXICATED KEYS
2023-05-10 17:35:00,OUT SIDE,MIDVA
2023-05-10 17:38:00,BERZINGUE,FLAVIEN BERGER
2023-05-10 17:42:00,PARAGUAYA,JUANA MOLINA
2023-05-10 17:46:00,FIGHT CLUB ,BABY ROSE  GEORGIA ANNE MULDROW
2023-05-10 17:49:00,1999,YONI MAYRAZ
2023-05-10 17:51:00,WU-TANG: 7TH CHAMBER - PART II,WU-TAN CLAN
2023-05-10 17:56:00,DEEPER UNDERGROUND,JAMIROQUAI
2023-05-10 18:00:00,KEPLER-22B,KING GIZZARD  THE LIZARD WIZARD
2023-05-10 18:04:00,TOUTES LES FILLES ,LAURA CAHEN  EMEL MATHLOUTHI
2023-05-10 18:07:00,BACKLASH BLUES,"KAREEN GUIOCK-THURAM,  DOMINIQUE FILLON  LAURENT VERNEREY  RAPHAEL CHASSIN  OLIVIER JUSTE"
2023-05-10 18:10:00,CENTRAL PARK BLUES,NINA SIMONE  DIVERS
2023-05-10 18:13:00,ONE NOTE SAMBA ,STAN GETZ
2023-05-10 18:16:00,PYJAMA'S ,BENNY SINGS  REMI WOLF
2023-05-10 18:19:00,CAIPIRINHA,DJEUHDJOAH  LIEUTENANT NICHOLSON  DJEUHDJOAH  LIEUTENANT NICHOLSON
2023-05-10 18:23:00,ELYSIAN,BONOBO
2023-05-10 18:23:00,ELYSIAN,BONOBO
2023-05-10 18:26:00,666,BON IVER
2023-05-10 18:30:00,MAN NEXT DOOR,MASSIVE ATTACK
2023-05-10 18:36:00,FREE SOLO,GRAND BLANC  BENOIT DAVID  CAMILLE DELVECCHIO  VINCENT CORBEL  LUC WAGNER
2023-05-10 18:40:00,COME TOGETHER,ALBERT SMITH
2023-05-10 18:43:00,DO WHAT YOU LIKE,AKA
2023-05-10 18:47:00,ON THE HUNT,LYNYRD SKYNYRD
2023-05-10 18:52:00,A1 BAKERY PLEDGE OF ALLEGIANCE,SURPRISE CHEF
2023-05-10 18:55:00,WANG EAST ,MIKE FABULOUS
2023-05-10 20:00:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 20:02:00,ESPERANZA,BALLAKE SISSOKO
2023-05-10 20:09:00,MY PEOPLE,CHA WA
2023-05-10 20:13:00,EVERYTHING,JEHRO
2023-05-10 20:16:00,L'ESSENTIEL NE SE DIT PAS,SAGE RAGE
2023-05-10 20:20:00,A HEAD WITH WINGS,MORPHINE
2023-05-10 20:24:00,ZIGZAG BLUES,CELINE BONACINA TRIO
2023-05-10 20:27:00,SAUDADE DE RESSACA,TRIO BACANA
2023-05-10 20:29:00,VICAR IN A TUTU,THE SMITHS
2023-05-10 20:32:00,DAY O,HARRY BELAFONTE
2023-05-10 20:35:00,BLUT UND BODEN ,TERENCE BLANCHARD
2023-05-10 20:38:00,BOARDED UP PORTALS,ODD HOLIDAY
2023-05-10 20:42:00, GIVE IT BACK,BOBBY WOMACK
2023-05-10 20:45:00,LE PAYS IMAGINAIRE ,WENDY MARTINEZ
2023-05-10 20:49:00,ROADS,PORTISHEAD
2023-05-10 20:53:00,FINALLY,JAY-JAY JOHANSON
2023-05-10 20:57:00,ABA ALEM LEMENEA,ABYSSINIA INFINITE  EJIGAYEHU GIGI SHIBABAW
2023-05-10 21:01:00,MIRROR IN THE BATHROOM,THE BEAT
2023-05-10 21:04:00,CHILDREN'S CORNER : DOCTEUR GRADUS AD PARNASSUM L 113 N1 - ARRANGEMENT POUR SAXOPHONE ET ORCHESTRE,AMY DICKSON  LONDON SESSION ORCHESTRA
2023-05-10 21:07:00,LE PRINTEMPS EST LA,VERONIQUE SANSON
2023-05-10 21:08:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 21:09:00,GLUE SONG ,BEABADOOBEE
2023-05-10 21:11:00,BUT NOT FOR ME,CHET BAKER
2023-05-10 21:14:00,"AND IF WE COULD, WED SAY",EPHEMERALS
2023-05-10 21:19:00,ALZAR LA VISTA,WAGNER PA
2023-05-10 21:24:00,JE VOUDRAIS DORMIR ,JEANNE CHERHAL
2023-05-10 21:26:00,POUR LES ENFANTS : PARADE / POUR HARPE,LILY LASKINE
2023-05-10 21:28:00,CSI: PETRALONA,WESTERMAN
2023-05-10 21:32:00,JOLIE LOUISE,DANIEL LANOIS
2023-05-10 21:35:00,STONE,PRINCE ALLA
2023-05-10 21:38:00,MESSAGE IN A HAMMER,OBONGJAYAR
2023-05-10 21:41:00,STRANGE LOVE,EABS MEETS JAUBI
2023-05-10 21:43:00,PAISA,ENZO AVITABILE  BOTTARI
2023-05-10 21:47:00,DON'T LET ME BE MISUNDERSTOOD,SANTA ESMERALDA
2023-05-10 21:50:00,WHITE HEAT,IT MAN
2023-05-10 21:52:00,J'IRAI AU PARADIS,DANIEL DARC
2023-05-10 21:56:00,WHEN SHADE WAS BORN,HARMONIA  ENO
2023-05-10 21:57:00,HOW DO YOU THINK IT FEELS,LOU REED
2023-05-10 22:00:00,UNDERGROUND,TOM WAITS
2023-05-10 22:02:00,MAYOL,TUE LOUP
2023-05-10 22:06:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 22:07:00,SUITE : JUDY BLUE EYES,CROSBY STILLS AND NASH
2023-05-10 22:14:00,MANDE DJELIOU,DJELIMADY TOUNKARA
2023-05-10 22:18:00,MINOR SWING,DJANGO REINHARDT
2023-05-10 22:21:00,SCHERZO IN MINORE,FRANCO BATTIATO
2023-05-10 22:25:00,DON'T PUSH IT DON'T FORCE IT,LEON HAYWOOD
2023-05-10 22:28:00,CHECK THE RHIME,A TRIBE CALLED QUEST
2023-05-10 22:31:00,MOT M'A DIT,JULIE GASNIER
2023-05-10 22:33:00,SANDY BEACH,JOHNNY HAWKSWORTH'S CARIBBEAN SOUND
2023-05-10 22:35:00,ICH BLEIB' IM BETT,NENA
2023-05-10 22:37:00,TOKI DOKI,AILI
2023-05-10 22:41:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 22:42:00,JARDIN CHINOIS,TAXI GIRL
2023-05-10 22:45:00,ONLY YOU,YAZOO
2023-05-10 22:48:00,40.2,VELS TRIO
2023-05-10 22:49:00,NO MORE LIES,THUNDERCAT  TAME IMPALA
2023-05-10 22:54:00,THRILLER,MICHAEL JACKSON
2023-05-10 23:00:00,POURQUOI PAS NOUS : VIENI QUI ,VLADIMIR COSMA
2023-05-10 23:03:00,ON N'OUBLIE RIEN,JULIETTE GRECO
2023-05-10 23:07:00,EMILY I'M SORRY,BOYGENIUS
2023-05-10 23:10:00,CAMEROON,MIRIAM MAKEBA  HUGH MASEKELA  SON ORCHESTRE
2023-05-10 23:13:00,MY PEOPLE...HOLD ON,BILLY VALENTINE AND THE UNIVERSAL TRUTH  BILLY VALENTINE
2023-05-10 23:19:00,MY BLUE HEAVEN,MARY LOU WILLIAMS
2023-05-10 23:21:00,HOBO DON'T MIND A LITTLE RAIN,TALMUD BEACH
2023-05-10 23:21:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-10 23:25:00,I WONDER,SIXTO RODRIGUEZ
2023-05-10 23:28:00,OLD FAITHFUL AND TRUE LOVE,EARL KING
2023-05-10 23:31:00,HOT YOU'RE HOT,SLY DUNBAR
2023-05-10 23:33:00,HOTLINE BLING ,DRAKE
2023-05-10 23:36:00,LES PLUIES CHAUDES DE L' T,ETIENNE DAHO
2023-05-10 23:41:00,CRANES IN THE SKY,SOLANGE
2023-05-10 23:45:00,SUSPENDED,AMANDA WHITING
2023-05-10 23:50:00,VIC'L,TONICO 70
2023-05-10 23:53:00,MYSTERIA,JIMI TENOR
2023-05-10 23:57:00,BEYOND,DAFT PUNK
2023-05-11 07:00:00,BENNESBEH LABOKRA ... CHOU? : FIRST INTRODUCTION,ZIAD RAHBANI
2023-05-11 07:03:00,CIRCULAR DOORWAY,LAKE  ANDREW DORSETT  ASHLEY ERIKSSON  ELI MOORE  MARKLY MORRISON
2023-05-11 07:07:00,NEVER KNOW,FRASER ANDERSON
2023-05-11 07:11:00,SOFT SERVE,SOUL COUGHING
2023-05-11 07:14:00,CONCERTO EN FA MAJ HWV 295  : 2. ALLEGRO - ARRANGEMENT POUR FLAGEOLET ALTO ET BASSE CONTINUE,HUGO REYNE  CELINE LAMARRE  LA SIMPHONIE DU MARAIS
2023-05-11 07:17:00,"PLEASE, PLEASE, PLEASE",JAMES BROWN
2023-05-11 07:21:00,REACHING FOR OUR STAR,SHARON REVOAL
2023-05-11 07:24:00,L'ENFANT SAMBA,CORTEX
2023-05-11 07:27:00,EXOTIQUE,WHATITDO ARCHIVE GROUP
2023-05-11 07:30:00,BREATHE,NICARAGUA
2023-05-11 07:32:00,FOREVER FOREVER,GENEVIEVE ARTADI
2023-05-11 07:37:00,THE SOUL DRUMMERS,RAY BARRETTO
2023-05-11 07:41:00,SUZUKI SPLIFFY,MANUEL FISCHER
2023-05-11 07:43:00,ADIS,BLAS CORDOBA EL KEJIO  CHANO DOMINGUEZ
2023-05-11 07:46:00,ANARCHY IN THE UK,BEAU CATCHEUR
2023-05-11 07:49:00,Z'AVEZ PAS LU KAFKA,SUZANNE GABRIELLO
2023-05-11 07:52:00,DANCIN' PANTS,QUINCY JONES
2023-05-11 07:55:00,POPSICLE TOES,MICHAEL FRANKS
2023-05-11 08:00:00,DISILLUSIONED,DANIEL CAESAR
2023-05-11 08:04:00,HEARTBREAKER ,MOHS.  ZACHARIE KSYK  ERWAN VALAZZA  NATHAN VANDENBULCKE  FANG THE GREAT
2023-05-11 08:07:00,YOU CAN'T SIT DOWN,BOOKER T  THE MG S
2023-05-11 08:10:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 08:11:00,PARFUM DE FEMME : QUE VEUT CETTE MUSIQUE ,PEPPINO GAGLIARDI
2023-05-11 08:14:00,WAITING FOR THE SUN,THE DOORS
2023-05-11 08:18:00,FREE SOLO,GRAND BLANC  BENOIT DAVID  CAMILLE DELVECCHIO  VINCENT CORBEL  LUC WAGNER
2023-05-11 08:21:00,THE MANY FACES OF STONE,BEN CHASNY
2023-05-11 08:24:00,J'AIME LES FILLES,KATE BOLLINGER
2023-05-11 08:27:00,MY GIRL,MICHAEL JACKSON
2023-05-11 08:30:00,EVEN THOUGH YOU'RE GONE,LOUISA MARKS
2023-05-11 08:33:00,WHAT YOU DUB,PINNACLE SOUND
2023-05-11 08:35:00,BABY SNAKES,DEATH AND VANILLA
2023-05-11 08:39:00,CAT AND MOUSE WITH THE LIGHT,THE NEW PORNOGRAPHERS
2023-05-11 08:43:00,TIME OF THE SEASON,RIEN FAIRE
2023-05-11 08:45:00,CHORO N1,SERGIO ASSAD
2023-05-11 08:47:00,HOT FUN IN THE SUMMERTIME,SLY  THE FAMILY STONE
2023-05-11 08:50:00,ALONE AGAIN,JORGE DARDEN
2023-05-11 08:53:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 08:54:00,I GOT THE FEELIN',AFRICAN FIESTA SUKISA
2023-05-11 08:56:00,VILLANOVA JUNCTION BLUES,JIMI HENDRIX
2023-05-11 08:58:00,TAKE ME AWAY,DA BRASILIANS
2023-05-11 09:00:00,LA BAIE DES ANGES : SLOW AU PETIT MATIN,DANIELLE LICARI  JOSE BARTEL  CHRISTIANE LEGRAND  GEORGES BLANESS  CLAUDINE MEUNIER
2023-05-11 09:02:00,IN THE MORNING,NINA SIMONE
2023-05-11 09:04:00,SAMBA DE ORLY,CHICO BUARQUE
2023-05-11 09:07:00,CAE LA LLUVIA,ELIA Y ELIZABETH
2023-05-11 09:10:00,UGI,STRONGBOI  ALICE PHOEBE LOU  ZIV YAMIN
2023-05-11 09:15:00,LETTER FROM YOKOSUKA,NUJABES
2023-05-11 09:18:00,JAUNE,MADONE  INGVILD  JUSTUS RAIM  DOMINGO MARIANI  JOSEPH SAINDERICHIN
2023-05-11 09:20:00,SEARCHING,ROY AYERS
2023-05-11 09:24:00,HOMEWARD BOUND,FREDDIE MAC GREGOR
2023-05-11 09:26:00,THE MODEL,OLIVIER LIBAUX
2023-05-11 09:29:00,CORNICHE KENNEDY,PIERRE DAVEN-KELLER
2023-05-11 09:32:00,"MON AMOUR,MON AMI",MARIE LAFORET
2023-05-11 09:34:00,ORLANDO FURIOSO : IO SON NE' LACCI TUOI  AIR DE BRADAMANTE,ANN HALLENBERG  ENSEMBLE MATHEUS
2023-05-11 09:37:00,IT'S BEEN SO LONG,WEBB PIERCE
2023-05-11 09:39:00,BABE,SHANA CLEVELAND
2023-05-11 09:41:00,FROM BAYA WITH LOVE,PONTA PRETA
2023-05-11 09:44:00,PARANOID,BABY ROSE
2023-05-11 09:47:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 09:47:00,WHEN I NEED YOU,THE MARVELETTES
2023-05-11 09:50:00,WHAT IS THIS THING CALLED LOVE ,WILLIE NELSON  NORAH JONES  MATT ROLLINS  DEAN PARKS  PAUL FRANKLIN
2023-05-11 09:52:00,POLICE DOG BLUES,RY COODER
2023-05-11 09:55:00,TITAN ANTHEM,TRIBEQA
2023-05-11 09:57:00,PEPPERS ,LANA DEL REY  TOMMY GENESIS
2023-05-11 10:02:00,DONE ,YAEJI
2023-05-11 10:04:00,PAS A PAS,NDOBO-EMMA
2023-05-11 10:06:00,DILLATRONIC 21,J DILLA
2023-05-11 10:08:00,TRUST ME,GURU  N DEA DAVENPORT
2023-05-11 10:13:00,MONKEY MAN,THE MAYTALS
2023-05-11 10:16:00,SILENT,LA PRIEST
2023-05-11 10:21:00,MONDELLO'S MELODY,WARHAUS
2023-05-11 10:22:00,HOW CAN YOU MEND A BROKEN HEART,AL GREEN
2023-05-11 10:28:00,WEIHNACHTEN,ELISABETH SCHWARZKOPF  PHILHARMONIA ORCHESTRA  AMBROSIAN SINGERS
2023-05-11 10:31:00,LE DIRECT,LA RADIO LA PLUS ECLECTIQUE DU MONDE
2023-05-11 10:32:00,TO URSULA'S CABIN,JOE HISAISHI
2023-05-11 10:33:00,WARA NO UE,MEIKO KAJI
2023-05-11 10:37:00,JE VIS MES REVES EN VRAI,KCIDY
2023-05-11 10:41:00,OVER AND OVER,THE WAEVE  GRAHAM COXON  ROSE ELINOR DOUGALL
